Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12,"Accumulated",Unnamed: 15,Unnamed: 16,"(Accumulated",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 33,Unnamed: 34,Unnamed: 35
Contributions from noncontrolling interests,nan,7,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,17,nan,nan,17,nan
Distributions to noncontrolling interests,nan,(67,),nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,(132,),nan,(132,)
Buy-outs of noncontrolling interests,nan,(4,),nan,nan,—,nan,nan,—,nan,(31,),nan,nan,—,nan,nan,—,nan,nan,(31,),nan,—,nan,nan,(31,)
Net income,nan,25,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,721,nan,nan,721,nan,nan,116,nan,nan,837,nan
Other comprehensive income,nan,—,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,399,nan,nan,—,nan,nan,399,nan,nan,—,nan,nan,399,nan
"Balance as of December 31, 2020",$,604,nan,nan,nan,"2,879",nan,$,3,$,"27,26 0",nan,nan,$,363,nan,$,"(5,401",),$,"22,225",nan,$,850,nan,$,"23,0 75",nan
Adjustments for prior periods from adopting ASU 2020-06,nan,—,nan,nan,nan,—,nan,nan,—,nan,(474,),nan,nan,—,nan,nan,211,nan,nan,(263,),nan,—,nan,nan,(263,)
Exercises of conversion feature of convertible senior notes,nan,—,nan,nan,nan,2,nan,nan,0,nan,6,nan,nan,nan,—,nan,nan,—,nan,nan,6,nan,nan,—,nan,nan,6,nan
Settlements of warrants,nan,—,nan,nan,nan,112,nan,nan,0,nan,—,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan
Issuance of common stock for equity incentive awards,nan,—,nan,nan,nan,107,nan,nan,0,nan,707,nan,nan,nan,—,nan,nan,—,nan,nan,707,nan,nan,—,nan,nan,707,nan
Stock-based compensation,nan,—,nan,nan,nan,—,nan,nan,—,nan,"2,299",nan,nan,nan,—,nan,nan,—,nan,nan,"2,299",nan,nan,—,nan,nan,"2,29 9",nan
Contributions from noncontrolling interests,nan,2,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan
Distributions to noncontrolling interests,nan,(66,),nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,(106,),nan,(106,)
Buy-outs of noncontrolling interests,nan,(15,),nan,nan,—,nan,nan,—,nan,5,nan,nan,nan,—,nan,nan,—,nan,nan,5,nan,nan,—,nan,nan,5,nan
Net income,nan,43,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,"5,519",nan,nan,"5,519",nan,nan,82,nan,nan,"5,60 1",nan
Other comprehensive loss,nan,—,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,(309,),nan,—,nan,nan,(309,),nan,—,nan,nan,(309,)
"Balance as of December 31, 2021",$,568,nan,nan,$,"3,100",nan,$,3,$,"29,80 3",nan,nan,$,54,nan,$,329,nan,$,"30,189",nan,$,826,nan,$,"31,0 15",nan
Exercises of conversion feature of convertible senior notes,nan,—,nan,nan,nan,0,nan,nan,0,nan,0,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan
Settlements of warrants,nan,—,nan,nan,nan,37,nan,nan,0,nan,0,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,—,nan
Issuance of common stock for equity incentive awards,nan,—,nan,nan,nan,27,nan,nan,0,nan,541,nan,nan,nan,—,nan,nan,—,nan,nan,541,nan,nan,—,nan,nan,541,nan
Stock-based compensation,nan,—,nan,nan,nan,—,nan,nan,—,nan,"1,806",nan,nan,nan,—,nan,nan,—,nan,nan,"1,806",nan,nan,—,nan,nan,"1,80 6",nan
Distributions to noncontrolling interests,nan,(46,),nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,—,nan,nan,—,nan,nan,(113,),nan,(113,)
Buy-outs of noncontrolling interests,nan,(11,),nan,nan,—,nan,nan,—,nan,27,nan,nan,nan,—,nan,nan,—,nan,nan,27,nan,nan,(61,),nan,(34,)
Net (loss) income,nan,(102,),nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,"12,556",nan,nan,"12,556",nan,nan,133,nan,nan,"12,6 89",nan
Other comprehensive loss,nan,—,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,(415,),nan,—,nan,nan,(415,),nan,—,nan,nan,(415,)
"Balance as of December 31, 2022",$,409,nan,nan,nan,"3,164",nan,$,3,$,"32,17 7",nan,nan,$,(361,),$,"12,885",nan,$,"44,704",nan,$,785,nan,$,"45,4 89",nan
